Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Djibouti,DJI,..,14800000,15500000,17500000,20500000,33500000,29600000,30900000,34200000,35100000,35100000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Dominica,DMA,..,9000000,11000000,13000000,13000000,12000000,12000000,13000000,26000000,22000000,22000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Dominican Republic,DOM,..,440000000,532000000,523000000,662000000,689000000,690000000,712000000,717000000,803000000,875000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Ecuador,ECU,..,416000000,790000000,806000000,863000000,917000000,944000000,987000000,990000000,994000000,1034000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Egypt, Arab Rep.",EGY,..,1206000000,3390000000,2941000000,2696000000,2575000000,3037000000,3261000000,3486000000,3636000000,4351000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,El Salvador,SLV,..,219000000,326000000,253000000,280000000,244000000,287000000,270000000,277000000,332000000,451000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Equatorial Guinea,GNQ,..,19000000,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Estonia,EST,..,253000000,939000000,605000000,633000000,806000000,796000000,1236000000,1338000000,1161000000,1297000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Ethiopia,ETH,..,80000000,156000000,139000000,143000000,170000000,181000000,214000000,283000000,372000000,461000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Fiji,FJI,..,96000000,111000000,107000000,102000000,116000000,110000000,105000000,99000000,115000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Finland,FIN,..,2293000000,5579000000,5226000000,5267000000,6009000000,5839000000,5292000000,5286000000,4772000000,5168000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,France,FRA,..,26703000000,50361000000,45050000000,46704000000,55472000000,50087000000,52448000000,58446000000,47453000000,49024000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,French Polynesia,PYF,..,..,159000000,164000000,160000000,168000000,158000000,156000000,169000000,146000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Gabon,GAB,..,183000000,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Gambia, The",GMB,..,..,12000000,12000000,14000000,16000000,13000000,10400000,55400000,57400000,76200000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Georgia,GEO,..,129000000,337000000,311000000,329000000,384000000,471000000,537000000,563000000,609000000,706000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Germany,DEU,..,57601000000,1.06E+11,92829000000,90882000000,99839000000,96233000000,1.03E+11,1.02E+11,85326000000,87423000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Ghana,GHA,..,162000000,870000000,948000000,882000000,1026000000,976000000,982000000,947000000,1405000000,1571000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Greece,GRC,..,4564000000,3946000000,4120000000,3401000000,3807000000,3006000000,3768000000,4001000000,3537000000,3415000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Grenada,GRD,..,8000000,11000000,10000000,10000000,10000000,11000000,11000000,18000000,20000000,21000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Guatemala,GTM,..,216000000,740000000,862000000,1002000000,935000000,920000000,952000000,1033000000,1004000000,989000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Guinea,GIN,..,13000000,30000000,28000000,17000000,49000000,41000000,61000000,29000000,38000000,16000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Guinea-Bissau,GNB,..,..,46100000,26000000,29500000,38600000,24500000,27200000,53000000,53000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Guyana,GUY,..,77000000,52000000,52000000,73000000,79000000,82000000,81000000,77000000,93000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Haiti,HTI,..,173000000,383000000,427000000,431000000,458000000,473000000,418000000,475000000,447000000,503000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Honduras,HND,..,198000000,385000000,361000000,406000000,446000000,549000000,506000000,509000000,507000000,523000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Hong Kong SAR, China",HKG,..,12502000000,16095000000,15547000000,17357000000,19022000000,20077000000,21215000000,22011000000,23059000000,24194000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Hungary,HUN,..,1722000000,3857000000,3251000000,2897000000,3048000000,2457000000,2526000000,2712000000,2456000000,2799000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Iceland,ISL,..,471000000,1103000000,534000000,599000000,740000000,780000000,850000000,972000000,998000000,1268000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,India,IND,..,3686000000,12083000000,9310000000,10490000000,13699000000,14107000000,13884000000,17492000000,17686000000,19185000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Indonesia,IDN,..,3197000000,8801000000,6908000000,8432000000,8653000000,9055000000,10280000000,10263000000,9800000000,10043000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Iran, Islamic Rep.",IRN,..,671000000,8270000000,8503000000,10570000000,10555000000,8435000000,9464000000,10130000000,8485000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Iraq,IRQ,..,9000000,813000000,1221000000,1675000000,1879000000,2363000000,3416000000,4394000000,4966000000,5027000000,..
