faa_site_number,loc_id,airport_name,associated_city,state,region,ado,use,lat_dms,long_dms,lat_dd,long_dd,airport_ownership,part_139,npias_service_level,npias_hub_type,airport_control_tower,fuel,other_services,based_aircraft_total,total_operations
15491.*A,JHW,CHAUTAUQUA COUNTY/JAMESTOWN,JAMESTOWN,NY,AEA,NYC,PU,42-09-12.2000N,079-15-28.9000W,42.15338889,-79.25802778,PU,IV A S 05/1973,General Aviation,,N,100LLA,AFRT  INSTR  RNTL  SALES,28,34837
15457.1*A,1B1,COLUMBIA COUNTY,HUDSON,NY,AEA,NYC,PU,42-17-28.7000N,073-42-37.2000W,42.29130556,-73.71033333,PU,,General Aviation,,N,100  100LLA1+,CHTR  INSTR,15,19200
15100.01*A,7N1,CORNING-PAINTED POST,CORNING,NY,AEA,NYC,PU,42-10-48.3610N,077-07-18.1270W,42.18010028,-77.12170194,PU,,General Aviation,,N,100LLA+,AFRT  CHTR  INSTR  RNTL  SALES  SURV,39,9025
15107.*A,N03,CORTLAND COUNTY-CHASE FIELD,CORTLAND,NY,AEA,NYC,PU,42-35-33.5000N,076-12-53.6000W,42.59263889,-76.21488889,PU,,General Aviation,,N,100LL,INSTR  RNTL,47,16989
15125.*A,DSV,DANSVILLE MUNI,DANSVILLE,NY,AEA,NYC,PU,42-34-13.9100N,077-42-47.7900W,42.57053056,-77.713275,PU,,General Aviation,,N,100LL,AGRI  CHTR  GLD  INSTR  TOW,22,48050
15784.4*H,JRB,DOWNTOWN MANHATTAN/WALL ST,NEW YORK,NY,AEA,NYC,PU,40-42-04.3690N,074-00-32.5020W,40.70121361,-74.00902833,PU,,General Aviation,,N,A,CHTR,0,31510
15786.*H,6N5,EAST 34TH STREET,NEW YORK,NY,AEA,NYC,PU,40-44-33.3660N,073-58-19.4990W,40.74260167,-73.97208306,PU,,General Aviation,,N,A1,AFRT  CHTR  SURV,0,18282
15167.*A,HTO,EAST HAMPTON,EAST HAMPTON,NY,AEA,NYC,PU,40-57-33.9000N,072-15-06.0000W,40.95941667,-72.25166667,PU,,General Aviation,,Y,100LLA,CHTR  INSTR  SALES,96,25260
15242.*A,0B8,ELIZABETH FIELD,FISHERS ISLAND,NY,AEA,NYC,PU,41-15-04.7090N,072-01-53.8010W,41.25130806,-72.03161139,PU,,General Aviation,,N,,,1,2125
15203.*A,ELM,ELMIRA/CORNING RGNL,ELMIRA/CORNING,NY,AEA,NYC,PU,42-09-35.4821N,076-53-30.2844W,42.15985614,-76.89174567,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,CARGO  CHTR  INSTR  RNTL  SALES,45,20716
